"locator_domain","location_name","street_address","city","state","zip","country_code","store_number","phone","location_type","latitude","longitude","hours_of_operation","page_url"
"https://freemanhealth.com"," Freeman Business Center ","3220 McClelland Boulevard","Joplin","Missouri","64804","US","<MISSING>","417-347-6686","Administrative","<MISSING>","<MISSING>","Monday: 8:00 am - 4:30 pmTuesday: 8:00 am - 4:30 pmWednesday: 8:00 am - 4:30 pmThursday: 8:00 am - 4:30 pmFriday: 8:00 am - 4:30 pm","https://freemanhealth.com/node/386"
"https://freemanhealth.com"," Freeman Hospital East ","932 East 34th Street","Joplin","Missouri","64804","US","<MISSING>","417-347-1111","Administrative","<MISSING>","<MISSING>","<MISSING>","https://freemanhealth.com/location/freeman-hospital-east"
"https://freemanhealth.com"," Freeman Learning Center ","3606 S. Indiana Ave.","Joplin","Missouri","64804","US","<MISSING>","417-347-1610","Administrative","<MISSING>","<MISSING>","<MISSING>","https://freemanhealth.com/location/freeman-learning-center"
"https://freemanhealth.com"," Freeman Screen Team Resource Center ","1130 East 32nd StreetSuite C","Joplin","Missouri","64804","US","<MISSING>","417-347-4430","Administrative","<MISSING>","<MISSING>","<MISSING>","https://freemanhealth.com/location/freeman-screen-team-resource-center"
"https://freemanhealth.com"," Nevada Regional Medical Center ","800 South Ash Street","Nevada","Missouri","64772","US","<MISSING>","417-667-3355","Administrative","<MISSING>","<MISSING>","<MISSING>","https://freemanhealth.com/location/nevada-regional-medical-center"
"https://freemanhealth.com"," Regional Eye Center, PC ","1531 West 32nd StreetSuite 102","Joplin","Missouri","64804","US","<MISSING>","417-347-3630","Administrative","<MISSING>","<MISSING>","<MISSING>","https://freemanhealth.com/location/regional-eye-center-pc"
"https://freemanhealth.com"," Rohmiller Dentistry ","615 East Pennell Street","Carl","Junction,","Missouri","CA","<MISSING>","417-649-7810","Administrative","<MISSING>","<MISSING>","<MISSING>","https://freemanhealth.com/location/rohmiller-dentistry"
"https://freemanhealth.com"," Freeman Learning Center ","3606 S. Indiana Ave.","Joplin","Missouri","64804","US","<MISSING>","417-347-1610","Anesthesiology","<MISSING>","<MISSING>","<MISSING>","https://freemanhealth.com/location/freeman-learning-center"
"https://freemanhealth.com"," Bill & Virginia Leffen Center for Autism ","2808 South Picher Avenue","Joplin","Missouri","64804","US","<MISSING>","417-347-7850","Autism Services","<MISSING>","<MISSING>","Monday: 8:00am - 5:00pmTuesday: 8:00am - 5:00pmWednesday: 8:00am - 5:00pmThursday: 8:00am - 5:00pmFriday: 8:00am - 5:00pm","https://freemanhealth.com/location/bill-virginia-leffen-center-for-autism"
"https://freemanhealth.com"," Freeman Learning Center ","3606 S. Indiana Ave.","Joplin","Missouri","64804","US","<MISSING>","417-347-1610","Autism Services","<MISSING>","<MISSING>","<MISSING>","https://freemanhealth.com/location/freeman-learning-center"
"https://freemanhealth.com"," Freeman Learning Center ","3606 S. Indiana Ave.","Joplin","Missouri","64804","US","<MISSING>","417-347-1610","Bariatric Surgery","<MISSING>","<MISSING>","<MISSING>","https://freemanhealth.com/location/freeman-learning-center"
"https://freemanhealth.com"," Freeman Cornell-Beshore Cancer Institute ","3415 McIntosh Circle","Joplin","Missouri","64804","US","<MISSING>","417-347-4000","Cancer Care","<MISSING>","<MISSING>","Monday: 7:45 am - 4:45 pmTuesday: 7:45 am - 4:45 pmWednesday: 7:45 am - 4:45 pmThursday: 7:45 am - 4:45 pmFriday: 8:00 am - 11:30 am","https://freemanhealth.com/location/freeman-cornell-beshore-cancer-institute"
"https://freemanhealth.com"," Freeman Learning Center ","3606 S. Indiana Ave.","Joplin","Missouri","64804","US","<MISSING>","417-347-1610","Cancer Care","<MISSING>","<MISSING>","<MISSING>","https://freemanhealth.com/location/freeman-learning-center"
"https://freemanhealth.com"," Freeman Radiation Oncology at Freeman East ","932 East 34th Street","Joplin","Missouri","64804","US","<MISSING>","417-347-2200","Cancer Care","<MISSING>","<MISSING>","<MISSING>","https://freemanhealth.com/location/freeman-radiation-oncology-at-freeman-east"
"https://freemanhealth.com"," Jose M. Pacheco-Gil, MD ","2727 McClelland Boulevard","Joplin","Missouri","64804","US","<MISSING>","<MISSING>","Cancer Care","<MISSING>","<MISSING>","<MISSING>","https://freemanhealth.com/location/jose-m-pacheco-gil-md"
"https://freemanhealth.com"," Freeman Learning Center ","3606 S. Indiana Ave.","Joplin","Missouri","64804","US","<MISSING>","417-347-1610","Counseling","<MISSING>","<MISSING>","<MISSING>","https://freemanhealth.com/location/freeman-learning-center"
"https://freemanhealth.com"," Ozark Center - ACT ","530 East 34th StreetSuite 200","Joplin","Missouri","64804","US","<MISSING>","417-347-7065","Counseling","<MISSING>","<MISSING>","<MISSING>","https://freemanhealth.com/location/ozark-center-act"
"https://freemanhealth.com"," Ozark Center - Carl Junction Clinic Children's Services ","106 South Main Street","Carl","Junction,","Missouri","CA","<MISSING>","417-347-7999","Counseling","<MISSING>","<MISSING>","<MISSING>","https://freemanhealth.com/location/ozark-center-carl-junction-clinic-childrens-services"
"https://freemanhealth.com"," Ozark Center - CCP ","530 East 34th Street","Joplin","Missouri","64804","US","<MISSING>","417-347-7630","Counseling","<MISSING>","<MISSING>","<MISSING>","https://freemanhealth.com/location/ozark-center-ccp"
"https://freemanhealth.com"," Ozark Center - Crisis Services ","3006 McClelland Boulevard","Joplin","Missouri","64804","US","<MISSING>","417-347-7720","Counseling","<MISSING>","<MISSING>","<MISSING>","https://freemanhealth.com/location/ozark-center-crisis-services"
"https://freemanhealth.com"," Ozark Center - Developmental Disabilities Targeted Case Management ","3230 Wisconsin AvenueSuite E","Joplin","Missouri","64804","US","<MISSING>","417-347-7643","Counseling","<MISSING>","<MISSING>","<MISSING>","https://freemanhealth.com/location/ozark-center-developmental-disabilities-targeted-case-management"
"https://freemanhealth.com"," Ozark Center - Hope Spring ","3901 East 32nd Street","Joplin","Missouri","64804","US","<MISSING>","417-347-7567","Counseling","<MISSING>","<MISSING>","<MISSING>","https://freemanhealth.com/location/ozark-center-hope-spring"
"https://freemanhealth.com"," Ozark Center - Lamar Clinic ","307 West 11th Street","Lamar","Missouri","64759","US","<MISSING>","417-347-8010","Counseling","<MISSING>","<MISSING>","<MISSING>","https://freemanhealth.com/location/ozark-center-lamar-clinic"
"https://freemanhealth.com"," Ozark Center - Neosho Adult and Children's Services ","204 North Lincoln Street","Neosho","Missouri","64850","US","<MISSING>","417-451-4565","Counseling","<MISSING>","<MISSING>","<MISSING>","https://freemanhealth.com/location/ozark-center-neosho-adult-and-childrens-services"
"https://freemanhealth.com"," Ozark Center - Ozark Oaks ","3405 South Schifferdecker Avenue","Joplin","Missouri","64804","US","<MISSING>","<MISSING>","Counseling","<MISSING>","<MISSING>","<MISSING>","https://freemanhealth.com/location/ozark-center-ozark-oaks"
"https://freemanhealth.com"," Ozark Center Urgent Behavioral Solutions ","3230 Wisconsin Ave, Suite A, Joplin, MOSuite A","Joplin","Missouri","64804","US","<MISSING>","417-347-7800","Counseling","<MISSING>","<MISSING>","Monday: 11:00 am – 9:00 pmTuesday: 11:00 am – 9:00 pmWednesday: 11:00 am – 9:00 pmThursday: 11:00 am – 9:00 pmFriday: 11:00 am – 9:00 pmSaturday: 1:00 pm – 9:00 pmSunday: 1:00 pm – 9:00 pm","https://freemanhealth.com/location/ozark-center-urgent-behavioral-solutions"
"https://freemanhealth.com"," Turnaround Ranch ","1949 Snowberry Lane","Joplin","Missouri","64804","US","<MISSING>","417-347-7860","Counseling","<MISSING>","<MISSING>","<MISSING>","https://freemanhealth.com/location/turnaround-ranch"
"https://freemanhealth.com"," Will's Place ","1800 West 30th Street","Joplin","Missouri","64804","US","<MISSING>","417-347-7580","Counseling","<MISSING>","<MISSING>","<MISSING>","https://freemanhealth.com/location/wills-place"
"https://freemanhealth.com"," Freeman Learning Center ","3606 S. Indiana Ave.","Joplin","Missouri","64804","US","<MISSING>","417-347-1610","Crisis Services","<MISSING>","<MISSING>","<MISSING>","https://freemanhealth.com/location/freeman-learning-center"
"https://freemanhealth.com"," Ozark Center Urgent Behavioral Solutions ","3230 Wisconsin Ave, Suite A, Joplin, MOSuite A","Joplin","Missouri","64804","US","<MISSING>","417-347-7800","Crisis Services","<MISSING>","<MISSING>","Monday: 11:00 am – 9:00 pmTuesday: 11:00 am – 9:00 pmWednesday: 11:00 am – 9:00 pmThursday: 11:00 am – 9:00 pmFriday: 11:00 am – 9:00 pmSaturday: 1:00 pm – 9:00 pmSunday: 1:00 pm – 9:00 pm","https://freemanhealth.com/location/ozark-center-urgent-behavioral-solutions"
"https://freemanhealth.com"," Freeman Dermatology and Skin Cancer Center ","3202 McIntosh CircleSuite 103","Joplin","Missouri","64804","US","<MISSING>","417-347-8066","Dermatology","<MISSING>","<MISSING>","Monday: 8:00 am - 5:00 pmTuesday: 8:00 am - 5:00 pmWednesday: 8:00 am - 5:00 pmThursday: 8:00 am - 5:00 pmFriday: 8:00 am - 12:00 pm","https://freemanhealth.com/location/freeman-dermatology-and-skin-cancer-center"
"https://freemanhealth.com"," Carthage Neighborhood Care ","1500 South Case Street","Carthage","Missouri","64836","US","<MISSING>","417-359-5948","Ear, Nose and Throat","<MISSING>","<MISSING>","<MISSING>","https://freemanhealth.com/location/carthage-neighborhood-care"
"https://freemanhealth.com"," Freeman Ear, Nose & Throat Center ","1331 West 32nd Street","Joplin","Missouri","64804","US","<MISSING>","417-347-6767","Ear, Nose and Throat","<MISSING>","<MISSING>","M: 8:00 am - 4:30 pmT: 8:00 am - 4:30 pmW: 8:00 am - 4:30 pmT: 8:00 am - 4:30 pmF: 8:00 am - 3:00 pm","https://freemanhealth.com/location/freeman-ear-nose-throat-center"
"https://freemanhealth.com"," Freeman Learning Center ","3606 S. Indiana Ave.","Joplin","Missouri","64804","US","<MISSING>","417-347-1610","Ear, Nose and Throat","<MISSING>","<MISSING>","<MISSING>","https://freemanhealth.com/location/freeman-learning-center"
"https://freemanhealth.com"," Joplin Ear, Nose and Throat ","1920 East 32nd Street","Joplin","Missouri","64804","US","<MISSING>","417-782-4613","Ear, Nose and Throat","<MISSING>","<MISSING>","<MISSING>","https://freemanhealth.com/location/joplin-ear-nose-and-throat"
"https://freemanhealth.com"," Joplin Ophthalmology ","2216 East 32nd StreetSuite 202","Joplin","Missouri","64804","US","<MISSING>","417-781-3630","Ear, Nose and Throat","<MISSING>","<MISSING>","<MISSING>","https://freemanhealth.com/location/joplin-ophthalmology"
"https://freemanhealth.com"," Lamar Neighborhood Care ","307 West 11th Street","Lamar","Missouri","64759","US","<MISSING>","417-682-3300","Ear, Nose and Throat","<MISSING>","<MISSING>","<MISSING>","https://freemanhealth.com/location/lamar-neighborhood-care"
"https://freemanhealth.com"," Midwest Regional Allergy, Asthma, Arthritis & Osteoporosis Center ","1027 South Main Street","Joplin","Missouri","64801","US","<MISSING>","417-624-0050","Ear, Nose and Throat","<MISSING>","<MISSING>","<MISSING>","https://freemanhealth.com/location/midwest-regional-allergy-asthma-arthritis-osteoporosis-center"
"https://freemanhealth.com"," Trey Butler, DO ","2431 East 32nd Street","Joplin","Missouri","64804","US","<MISSING>","417-781-9000","Ear, Nose and Throat","<MISSING>","<MISSING>","<MISSING>","https://freemanhealth.com/location/trey-butler-do"
"https://freemanhealth.com"," Freeman Learning Center ","3606 S. Indiana Ave.","Joplin","Missouri","64804","US","<MISSING>","417-347-1610","Emergency Services","<MISSING>","<MISSING>","<MISSING>","https://freemanhealth.com/location/freeman-learning-center"
"https://freemanhealth.com"," Freeman Neosho Hospital ","113 West Hickory Street","Neosho","Missouri","64850","US","<MISSING>","417-451-1234","Emergency Services","<MISSING>","<MISSING>","<MISSING>","https://freemanhealth.com/location/freeman-neosho-hospital"
"https://freemanhealth.com"," Freeman Neosho Physician Group ","336 South Jefferson","Neosho","Missouri","64850","US","<MISSING>","417-455-4200","Emergency Services","<MISSING>","<MISSING>","Monday: 8:00 am - 5:00 pmTuesday: 8:00 am - 5:00 pmWednesday: 8:00 am - 5:00 pmThursday: 8:00 am - 5:00 pmFriday: 8:00 am - 5:00 pm","https://freemanhealth.com/location/freeman-neosho-physician-group"
"https://freemanhealth.com"," Freeman Diabetes & Endocrine Institute ","1532 West 32nd StreetSuite 402","Joplin","Missouri","64804","US","<MISSING>","417-347-8740","Endocrinology","<MISSING>","<MISSING>","Monday: 8:00 am - 5:00 pmTuesday: 8:00 am - 5:00 pmWednesday: 8:00 am - 5:00 pmThursday: 8:00 am - 5:00 pmFriday: 8:00 am - 12:00 pm","https://freemanhealth.com/location/freeman-diabetes-endocrine-institute"
"https://freemanhealth.com"," Freeman Learning Center ","3606 S. Indiana Ave.","Joplin","Missouri","64804","US","<MISSING>","417-347-1610","Endocrinology","<MISSING>","<MISSING>","<MISSING>","https://freemanhealth.com/location/freeman-learning-center"
"https://freemanhealth.com"," Akuna Family Medicine ","1020 McIntosh CircleSuite 202","Joplin","Missouri","64804","US","<MISSING>","417-347-2909","Family Medicine","<MISSING>","<MISSING>","Monday: 8:00 am - 5:00 pmTuesday: 8:00 am - 5:00 pmWednesday: 8:00 am - 5:00 pmThursday: 8:00 am - 5:00 pmFriday: 8:00 am - 12:00 pm","https://freemanhealth.com/location/akuna-family-medicine"
"https://freemanhealth.com"," Baxter Springs Neighborhood Care ","322 East 11th Street","Baxter","Springs,","Kansas","CA","<MISSING>","620-856-2182","Family Medicine","<MISSING>","<MISSING>","Monday: 7:00 am - 4:00 pmTuesday: 7:00 am - 4:00 pmWednesday: 7:00 am - 4:00 pmThursday: 7:00 am - 4:00 pmFriday: 7:00 am - 11:00 am","https://freemanhealth.com/location/baxter-springs-neighborhood-care"
"https://freemanhealth.com"," C.H. Bentlage Building ","3202 McIntosh Circle","Joplin","Missouri","64804","US","<MISSING>","417-347-1111","Family Medicine","<MISSING>","<MISSING>","<MISSING>","https://freemanhealth.com/location/ch-bentlage-building"
"https://freemanhealth.com"," Community Health Center of Southeast Kansas - Pittsburg ","3011 North Michigan Street","Pittsburg","Kansas","66762","US","<MISSING>","620-231-9873","Family Medicine","<MISSING>","<MISSING>","Monday: 8:00 am–7:00 pmTuesday: 8:00 am–7:00 pmWednesday: 8:00 am–7:00 pmThursday: 8:00 am–7:00 pmFriday: 8:00 am–5:00 pmSaturday:  8:00 am–5:00 pm","https://freemanhealth.com/location/community-health-center-of-southeast-kansas-pittsburg"
